incident_id,arrival_minute,priority,assigned_vehicle_id,reached_minute,response_time
0,42,3,10,84.6577,42.6577
1,1,2,13,4.5597,3.5597
2,33,2,17,102.3983,69.3983
3,46,2,7,156.8592,110.8592
4,50,1,,,
5,58,1,,,
6,26,1,,,
7,36,1,,,
8,47,1,,,
9,51,1,,,
10,17,1,3,126.6583,109.6583
11,5,1,6,15.7783,10.7783
12,33,2,1,134.0548,101.0548
13,3,1,5,15.3709,12.3709
14,12,1,4,49.4094,37.4094
15,3,3,18,16.1395,13.1395
16,30,1,,,
17,23,1,,,
18,18,3,9,94.8796,76.8796
19,8,1,14,79.5805,71.5805
20,53,2,0,147.1373,94.1373
21,4,1,15,26.4052,22.4052
22,33,1,,,
23,36,3,11,69.1281,33.1281
24,3,1,1,25.5946,22.5946
25,45,3,18,138.7514,93.7514
26,44,1,,,
27,54,1,,,
28,48,1,,,
29,0,1,19,15.0334,15.0334
30,28,2,8,135.8519,107.8519
31,43,1,,,
32,28,1,,,
33,30,2,12,60.9286,30.9286
34,3,1,9,10.3577,7.3577
35,29,1,,,
36,35,2,16,108.2565,73.2565
37,5,1,2,11.9535,6.9535
38,59,2,10,144.8379,85.8379
39,57,1,,,
40,34,1,,,
41,17,1,9,149.7232,132.7232
42,24,2,19,104.0715,80.0715
43,36,1,,,
44,5,3,17,24.8012,19.8012
45,4,1,0,8.9804,4.9804
46,55,1,,,
47,8,1,13,72.9949,64.9949
48,49,3,3,89.8040,40.8040
49,30,1,,,
50,2,2,11,14.4413,12.4413
51,14,1,6,73.7955,59.7955
52,44,2,5,127.1161,83.1161
53,0,2,7,4.0075,4.0075
54,10,2,7,67.6222,57.6222
55,43,1,,,
56,22,1,,,
57,30,1,,,
58,39,3,4,88.5567,49.5567
59,39,1,,,
60,31,1,,,
61,16,1,18,54.9388,38.9388
62,28,1,,,
63,7,3,3,55.2410,48.2410
64,25,1,,,
65,46,1,,,
66,59,2,4,135.0415,76.0415
67,35,3,15,101.4544,66.4544
68,42,1,,,
69,2,2,12,22.2955,20.2955
70,32,1,,,
71,34,1,,,
72,41,1,,,
73,56,2,6,116.5920,60.5920
74,27,1,,,
75,6,1,8,20.2554,14.2554
76,19,1,17,149.0513,130.0513
77,2,1,4,12.5552,10.5552
78,51,2,11,150.4278,99.4278
79,29,1,,,
80,19,1,19,191.0969,172.0969
81,8,1,2,64.0217,56.0217
82,43,1,,,
83,56,1,,,
84,24,1,,,
85,4,1,10,13.6076,9.6076
86,57,2,14,130.0488,73.0488
87,41,1,,,
88,7,2,16,61.3139,54.3139
89,53,3,12,121.0624,68.0624
90,18,1,15,189.4124,171.4124
91,54,2,13,106.5296,52.5296
92,37,1,,,
93,15,1,5,66.2545,51.2545
94,20,1,16,152.5984,132.5984
95,19,1,13,204.8605,185.8605
96,36,2,2,125.6401,89.6401
97,13,1,11,40.3126,27.3126
98,22,2,10,53.5917,31.5917
99,17,3,0,69.4911,52.4911
